vazgeçmek
araba vapuru
buyrat
esasa bağlamak
tarlafaresi
gelişmemek
müstağrip
devriklik
kalıpçı
isteka
mizac
makyavelcilik
ışınlanma
fa anahtarı
bedava sirke baldan tatlıdır
kuzgunî siyah
alkalimetre
bitter
tok sözlülük
kara sürmek
fiyatlandırmak
ongunluk
yeğenim!
sebven
lâp lâp
asturca
patlamalı
meş'ale
açıktan açığa
cürüm
yeytem
gâvur olmak
amaçlanmak
affetmemek
çelişiklik
sağladığıyarar
kelleşmek
ahfeş'in keçisi gibi başını sallamak
kan akmak
çarptırış
çömlekleme
sırt
haymana beygiri gibi dolaşmak
yüreği parçalanmak
eliyle
majüskül
ağzı çiriş çanağına dönmek
her kafadan bir ses çıkmak
peltek
icaz
adım atmak
kırtıklı
tütsüleme
atgiller
müdavi
ifa
küreğin
nimetşinas
ferahnâkaşiran
malikiyet
çocuktan al haberi
kısmetine mani olmak
zıtlaşmak
gazellenmek
konmaktan
ortanın solu
çizgesel kullanıcı arayüzü
başa baş
istidatlı
ne şam'ın şekeri ne arap'ın zekeri (veya yüzü)
efendim nerede, ben nerede?
telekart
çelişmek
koyun eti
larva
represant
klâsikleşmek
kellesini uçurmak
sınırlandırmak
mantar gibi yerden bitmek
badanacılık
sürtüşme
bukle
sağ olsun
filâriz
kapı yapmak
pagan
her dem taze (olmak)
kov etmek
cura zurna
yiğitlik sende kalsın
aralık oyunu
kökenli
servigilleri
dönüştürmeler
celî
bir ayağı çukurda olmak
duraksamak
şifon
taallûk etmek
danışık
çalışmamak
işlemler
altın suyu
rüzgârlanma
üzere
konsomatrislik
budanış
yastıklama
hüdâ
özge
kocalı
bağış yapmak
çağıl
soru sıfatı
matara
sakat
vejetaryen
milletvekilliği
fabrikatör
tinsel
düyek
yüsrü
çözdürme
sözel öğrenme
altın anahtar her kapıyı açar
orası senin, burası benim dolaşmak (veya gezmek)
geçkin
taşkınımsı
kontrpiye
icapçı
papikçi
yoğun
gün-tün eşitliği
polimci
mezesiz
semeleşmek
esmer vatandaş
vişne hoşafı
eczane
pörsük
dingildek
porsumuş
öküzgözü
alâkart
çıkışamamak
hücre yutarlığı
şoparlık
güvenecek
evirmek
hisli
boşa çıkarmak
otomatiklik
kb
museccel
çalkamak
arıklık
kruvazör
tefekkür etmek
arılama
sararmış
duyurulan
ellik
ezber okumak
temlikname
yazıncılık
iş insanın kalayı
tepeli tavuk
tıkaçlanmak
yeşil oy
diktafon
hesaplı hareket etmek
kilolu
mürüvvetli
çalınmak
mühür basmak
sevinmek
laflamak
nişan almak
sansar
tarih düşürmek
ismini cismini almak
yıllar yılı
zıplatma
serde ... var
evini
kraliçe gibi
çatınma
hypermètre
zeytinsiz
hulyalaşma
geçicilik
bata çıka
kırkmak
kentleşme
şarampol
kölle
alpler
sandalyeci
sultan
temsil etmek
ora
talıku
kasılmak
doping
yaba
musalla taşı
hayır
generallik
karbonado
sinir hastalığı
aktöre
kıygın
eksiuç
karfiçe
tavsama
fışırdamak
bir solukta
yararcıl
deli boynuz
deniz kazı
çoku
tökezlenmek
kerteriz noktası
tozutma
zengin olmak
bel kırmak
farenjit
kapı aramak
salyamsı
körlenmek
rahasa
tepeli dalgıç
bîtaraflık
gözünü yummak
geçinememek
üleştirimli
ütgür
korkalama
ıstırapsız
kuzgun gibi
muttasıl
yetkili yargıç
semafor
mülhid
fırsat bilmek
dulavratotu
süzgü
eşli
polariskop
konseptüalizm
höykürmek
gözleri berraklaşmak
vasıflanmak
gerçeğe aykırı
bastığ
katım
yüzertop
turistlik
teberru etmek
paslandırmak
uygulayımcıerki
kıtıklamak
nazariyeci
kıvamını bulmak (veya kıvamına gelmek)
ağzının mührü ile
çekingenleşme
bira
birdenbire
oyalanmak
dövdürtme
tezce
mikrofonik
düyun
belkili
gerçekte
oğuzca
törelsiz
zabıt tutmak
renkli televizyon
internet iletişim kuralları
oyun yazarı
akağa
yollarda
vagon restoran
ışığı altında
çiğ renkçilik
ovdurtmak
plüralist
tutuşturmak
sazlı
yapıştırılmak
elektroansefalogram
melisa
dımbırdatma
konuşlanmak
fisebilillâh
çiğ süt emmiş
berke
ipnoz
derisini yüzmek
vulger
üzülme
harf
verimli
yengin
çekeleme
cânı
intibah
hilâl
ciğeri beş para etmez
çınarımsı isfendan
değgin
susever
suni tahta
ortalığı ... götürmek
öyle olsun
soğuk büfe
dosya
bayındırlık
sezi
uzatış
yüreğine su serpmek
duma
hisseli
örneklem
damgalı
karşısına almak
tataristan'da
el sanatları
ölüler
tuğlacı
sandıklamak
yıldırma
delikli boncuk (veya taş) yerde kalmaz
eğitmek
abidin
kündelemek
ayağına üşenmemek
bisikletli
harcama
allah ne verdiyse
aşikar
kargagillerden
in-group
cücelik
dönüştürücü
kıvırma
kırkları karışmış olmak
derinliğine
yüreğini hoplatmak (oynatmak veya kaldırmak)
göğüs vermek
gönderilmek
tereddüt etmek
şeref misafiri
ununtriyum
teritoryal
hodbehot
destelemek
salata
müsnedünileyh
ağnama
sırım
yörekent
ihtarname
kantçılık
lehim
kolları kopmak
hevenkleşmek
tun tun
itekleme
düzenleyici
sıcak mutfak aşçısı
hâkimane
karamandola
izafiyet
prodüktörlük
topu topu
elektrokimya
stor
voltaj
bakma
matkab
dokuz ayın çarşambası bir araya gelmek
yatmalık
aklevrek
küskünleşmek
tesettür
fakih
gözünün çapağını silmeden
tadata çıkmak
iliklerinde duymak
kafasında tutmak
kuruntulu
kafasına vurmak
gök taşı
keskin
kendi göbeğini kendi kesmek
müesses
külâhçı
kekresi
