gizil
bolarmak
kâşâne
fitnelemek
fare deliğe sığmamış, bir de kuyruğuna (veya kıçına) kabak bağlamış
şüphe bırakmamak
çivisiz
berzah
ertelenmiş
kalli
y, y
tarçın şurubu
işsiz güçsüz kalmak
sıcak savaş
çil yavrusu gibi dağılmak
ağaçlamak
hocalık etmek
yumruk göstermek
misakımillî
tataş
uygulanmak
mürşîd
yetiştirilmesi
hercaîlik
şaz
sakarlaşmak
sermet
maraz
diksıra
parasal
dağılmış
fersizlik
dillerde dolaşmak (veya gezmek)
amuda kalkmak
fermeneci
nerede hareket, orada bereket
şipşak
eşek kafalı
kök kırmızısı
tabii ki
lâkırdı çıkarmak
mahzun
yırtık
teokrasi
çeyrekleme
pikaj
aşırı bellem
togo
meşakkatli
göbek taşı
hamam kesesi
yağmur kuşugiller
rüya gibi
kaldırıcı
dış hatlar
eğri yüz
düzenleniş
çaka
mutarıza
sem
hesapsızca
kurvaziyer
deveyi havuduyla yutmak
içinden çıkmak
ayrıyeten
eşinme
asayiş berkemal
dalları basmak
sonrasızlık
genel zekâ
deklarasyon
şerefsiz
emirler
yakarmak
köpürtücü
tavsamak
utancından yere geçmek
tren teşkil memuru
babîlik
hemcinslik
mübrem
şırıldama
art bölge
amana gelmek
tarih düşürmek
rötuş etmek (veya yapmak)
meyilsiz
manavlık
kabaca
isimleri
karıncalanma
horasan
şerait
fi tarihinde
durdurtmak
kararış
asudelik
çapraşıklaşma
üst güverte
yangılanma
yaldızlatmak
kasvet
ne denir! (veya ne dersin)
pazılı
fukusgiller
kendini dirhem dirhem satmak
kan oturmak
cılızlaşmak
geçilen
ele alınır
foslatma
harcanan
isabet
kara gün dostu
karşıcıl
şartlardan
havarîlik
taburcu edilmek
ön teker
nasırlanma
sağlam kazığa (veya sağlama) bağlamak
kadar
taşsı
konuk köşesi
admış
türkiye türkçesi
hedonizm
uguz
mahreç
mola taşı
yardakçılar
sapsarı
dalıp çıkmak
buzul seli
bitli kokuş
tuğamiral
bet beniz kalmamak
nemli
bayan
ziraat
kategori
mahlûkat
kadınlaşmış
ons
ishalli
araya vermek
hey
anasını bellemek
sistireci
sezmek
leğen başından almak
gaile
gönül maskarası
fitili almak
hart hart
mançu-tunguz
pancarcı
yıldan yıla
pirahen
sağlıklama
dip doruk
uysallaşma
borcu
desteklenmemiş
kavrama noktası
kıç atmak
çıkmak
diyabet uzmanı
temyiz
oynatılma
tapıngu
kafası kazan olmak
karasinek
şartlı birleşik zaman
alan talan etmek
titreşimli
hasislik
yampiri yampiri
yaramazca
baba adam
tarafar
minyatür
dekoratör
köyde
yıkanma
azit
engelli
titrek kavak
ağaçcık
kuskunu düşük
söğme
şergil
ateşi çıkmak (veya yükselmek)
hakseverlik
karantina müddeti
çamur gibi
platinimsi
miskincesine
ezbere anlatmak
barbekü
kalibre
yığlınç
çerezci
deşifre
olağan
debba
tesanüt
suculuk
inhitat etmek
mandıracı
arkası yufka
kırkgeçit
çıtırdama
çırpınarak
telâfi etmek
basın dünyası
anafor
benzetici
çöktürmek
geometri
layemut
karşılığında
alkış ağası
tenekecilik
allah kazadan belâdan saklasın
paççı
çuvalsız
ayakta
kaldırma
vebal altında kalmak
keler balığı
atasözü
su altı
peklik çekmek
berşe
tutulmaz
çağrı cihazı
kadmiyumlu
avrupa bodur mürveri
yaldızlatma
lâğım döşemi
gecikmesiz
puan vermek
kâbus
kesimci
oosfer
gelmelisin
izzetinefis
paralelkenar
beddua sinmek
güler yüz
öz eleştiri
piyazlama
ciltçilik
uymaz
bayraç
aklaşmasınısağlamak
kıyamete kadar
akçöpleme
damın
bid'at
geçiş
iftar zamanı
hakka
anlayış
manyetik disk
seslemlemek
lilyana
yönetmenlik
derecelerini
aşırıheyecanlandırmak
odaklamak
tombik
panik yaratmak
okapi
ölüsü kınalı
aşık kemiği
halfa
madikleme
orojeni
öğretilme
toplumdurum
kutsallık
şaşkaloz
yinçke
yaraş
teleksçi
yelpaze
kahpelik
tavşancıl otu
direktif almak
anlatmak
yazıt bilimi
iç açmak
insan başlı
naşir
karagözlük
meydana dökmek
atlar tepişir, arada eşekler ezilir
hayvanlarda
lâzca
şoson
halinde
daktilotekni
küçükleşme
cezbelenme
ihraççı
başını ortaya koymak
kur'an (veya ekmek) çarpsın!
rabıt edatı
tesettürlü
boğuşulma
yalanarak
birikim
cengel
üzere
döşemeci
deli ırmak
reklâm ışıntısı
manasızlık
ayı gördüm, yıldıza itibarım (veya minnetim) yok
gemlenme
cart curt etmek
kayracılık
yok oğlu yok
eğreti ata binen tez iner
sürmesiz
yayımlanma
nihâni
tezleştirme
huylandırmak
yardımlaşmak
masa tablası
muhafazasız
gripli
tombul
saklamaksızın
oğmak
hava yastıklı
istinsah etmek
dıramudana
zambakgillerden
haşlamlılar
yapıştırma
tohumlanmak
defnedilmek
komandit şirket
kaçışmak
sulu boya
etıbba
tavik
ebedî
amansız hastalık
edep
antika mobilya
kalinis
fetişizm
araba araba
kozaların
enes
eş biçimli
çeyiz çemen
söyleniş
akbergü
kadeh tokuşturmak
cemilendirmek
eli altında olmak
taşıtmak
kahraman
püf
şaşı
değer analizi
velvele
divane olmak
birleşik kap
izan
baro
safralı
huy
yığıntı
ileri görüş
fiyatlanma
defa
şefik
madiklemek
abes bulmak
doldurulmak
dış alım
sıçana dönmek
bolca
incinmek
zengin erki
çala kalem
lüzumlu
monarşist
malûmatfuruş
kimya laboratuvarı görevlisi
ağır vasıta
öldüresiye
köpekleşmek
plasman
kısaltılmak
kız
dudak tiryakisi
gargara
eksiltme
güldü gülecek
çapgur
zevalî saat
imtihan
atılımcı
kurdele
tashin
gökyüzü mavisi
is
nüvaziş
ambülans
inim inim inlemek
vakitli
viranlaşmak
yedeğe almak
ergime
kan gövdeyi  götürmek
öküz damı
burnunun direği sızlamak
tali cümle
karmaşıklaşma
yalancılık
nagâh
bacak kadar boyu var, türlü türlü huyu var
çeltikçilik
iç kuyu
banko at
içirik
ıdiomorphe
çullukgiller
sessizleşme
interferometre
adamsız
mayalanmak
prens
bilişim
hayrette (veya hayretler içinde) kalmak
şapşalak
ortalama
bozahane
başdanışman
dalgaölçer
ince tutkal
satı
mahzun etmek
ağnamcı
okutturmak
nohut oda
çözünük
diken üstünde oturmak (veya olmak)
varyant
yufka ekmeği
evce
yukarıdan
nispeti olmak
küfretme
çırpılma
kireçli
bön bön bakmak
şvester
objektivist
nişan yüzüğü
koskocaman
karşı durmak
kementlemek
top tüfek
pazarlaşma
trafo
kılçıklı
losyon
algoritma
çaçaça
gaz taşı
sterilize
boynuzluteke
üstelenmek
tav
mihr-bân
yemesi
foto
ırgama
kolayına gelmek
deneyüstücülük
küme çalışması
ipnotize
aldanmak
bakakalma
hayal
çekinmek:
akma hançer
adaylığını koymak
şaka gibi gelmek
separatör
avurt ünsüzü
amfor
vardavela
alıkonulma
ispiyonlamak
zamanlı zamansız
ilhanlık
yükseğe
sektirmemek
edebikelâm
farksız
moruklaşmak
vedia
insan konuşa konuşa, hayvan koklaşa koklaşa
karakoncolos
ıdare
mutlak mera
an'anevi
yalvarış
yüz kızdırmak
makinistlik
deccal
açıklayıcı
basılgan
mübadele etmek
stronsiyum
sarhoşlaşmak
yoğalma
idadiye
haset
mebna
denizden çıkmış balığa dönmek
havanın
ayrılmazlık
çakıldama
fent çevirmek
darağacı
ebiri
hava şartları
demir yeri
bindirilme
dadlana
çembersiz
abhazca
dalız
ekli püklü
dil ağız vermemek
tezgâh mengenesi
varda
polaroit
öz yönetim
müsavat
suratsızlık
sözünden çıkmamak
müvellidülhumuza
empirik
sislenmiş
aydınlık
çatınmak
erkân kürkü
pirinci su kaldırmamak
lekeli
eğiç
dayaklı
cümle bilgisi
mülteka
pişmanlık
yan gelip yatmak
kerahet vakti
şüphelenme
kanını içine akıtmak
bağdaşmaz
adetler
bir şeye benzememek
morumsu
gecelik
floş
ibik
içgörü
hezel
şövalye yüzüğü
olay
ari
yapagı
temel tanecik
teşriki mesai
allah aratmasın
sökülüş
edinmek
tabakasız
hurdaya çevirmek
dalkavuklaşma
mübarek ay
seccadeci
höst
çelişkili
süt dişi
hesaba dökmek
cemaatleşmek
kavislenme
kaynaklar
harekete geçmek
karaasma
şeytanımsı
huysuzluğu
kafa göz yarmak
cins cibilliyet
kayıtsız şartsız
buket
boynuzumsu
sadakat
görmez
okaliptüs
muaflık
soyunma
solfej
teber
muhaceret etmek
insan-ı kamil
arif
sıpa
kadının yüzünün karası erkeğin elinin kınası
kavlükarar
abdallık
optik
alfabetik katalog
caydırış
tangır tungur
palandöken
tezkire
lâf açmak
hamsi buğulama
güçlendirme
senelik
flâmanca
elektrikli
taciz etmek
anarşistleşme
astronomik rakam
bozçin
otobüsçülük
iteği
çekici
enkiş
dövülmek
tapın
bela
gidertme
övünülen
evcil hayvan
zırcahil
testereli
takma diş
şifreli kilit
tapmak
nallamak
guşa
ıslatılmak
başaktör
şiar edinmek
cilt evi
prim
güvenilirliği
idrak
dikkat kesilmek
meclis
işi ...e dökmek
alıklaşmak
dalavereci
bayrak merasimi
camit
değerlendirmelerde
pencüyek
güdelemek
fedai
habitat
kaşıntı
müruriye
yeteneksizlik
olabilir
kundaklanmak
nev
golfçü
sulh olmak
ipe çekmek
cengaver
ökseme
dokunmamak
aldatılamaz
çocuksuzluk
vızvız böceği
tezahür
bağışlayan
allah'a (bin) şükür
aydan
yiğitbaşı
kisvesi altında
penaltı atışı
denetim
blûz
seramikçi
sinir otu
günün adamı
yakın çağ
kabul günü
bel bağlamak
kuzey yıldızı
davulcuların
ovdurma
inşallah
meyve veren ağaç taşlanır
efsaneleşme
durulma
su bombası
yargıçlık
fahimane
şevk vermek
heveslenme
providansializm
anlatış
ileri geri konuşmak (lâflar etmek veya söylemek)
tebcil
definecilik
kızaklamak
hükûmet etmek
idare hukuku
göz bankası
semeleşmek
müstemirren
içli
orta karar
ikili oynamak
didar
gabardin
destursuz bağa gireni sopa ile kovarlar
iğrengen
ıspanaklı börek
mukavemetsiz
kotletpane
olurlamak
aslında
sağıcı
çocuklar
zarıncımak
hödükleşmek
mertebe
yavuz
cep kitabı
gaip
çol
çalışmada
denkleşmek
bankaya yatırmak
açtı ağzını yumdu gözünü
dönüşlü çatı
allah kuru iftiradan saklasın
dallı güllü
kıdem tazminatı
eterleştirme
başına oturmak
kontrol kalemi
etüt
kuyumcu
sakızlaşmak
çamıç
sözlü film
uzun kulaktan haber almak
içi sıkılmak
alpaks
bal çiçeği
kazasker
elverişsiz
gazometre
